video,status,npz_files,total_wall_s,gpu_util_max,gpu_util_mean,gpu_util_p95,gpu_mem_peak_mib,gpu_mem_mean_mib,gpu_samples
-jdMxlDMKf8,complete,8,214.8,100.0,2.6,4.0,2891.0,2618.3,203
-k2l-WmETXE,complete,8,180.8,47.0,2.0,17.0,3262.0,2577.3,170
-kEb_4XKveA,complete,8,358.5,100.0,1.9,6.0,2891.0,2572.4,335
-kdFJopjS_g,complete,7,204.2,100.0,5.2,49.0,2844.0,2439.5,193
-kzwS6fFWy8,complete,8,358.6,99.0,3.3,20.0,3262.0,2669.4,338
-l4TnuEXQ8s,complete,8,349.0,100.0,3.4,18.0,3262.0,2655.6,329
-lh8BrWhWwE,complete,8,231.8,40.0,1.2,5.0,3262.0,2638.9,219
-qvftMupYJA,complete,8,279.6,93.0,2.0,7.0,3633.0,2664.0,261
-rpj5acpLKw,complete,8,211.7,100.0,2.3,6.0,4004.0,2627.7,195
-sttFwxZPSo,complete,8,235.3,30.0,0.7,4.0,3262.0,2663.5,220
-t1WA7trelE,complete,8,241.3,25.0,1.2,7.0,3262.0,2625.4,226
-tIL1T5l_2g,complete,7,167.4,59.0,2.3,19.0,2637.0,2439.1,159
-thtfK5M6iQ,complete,8,239.5,55.0,1.6,7.0,3262.0,2631.6,225
-u-devGZao0,complete,8,446.8,100.0,3.1,11.0,3058.0,2587.5,418
-wPo7JowOLk,complete,8,207.3,100.0,1.7,4.0,3633.0,2572.3,196
-we93SKsG8M,complete,8,387.5,100.0,2.0,10.0,3633.0,2653.0,362
-xQoLhhSquo,complete,8,339.2,55.0,1.6,5.0,2891.0,2629.6,319
-z4lSj-YhKs,complete,8,245.0,99.0,3.2,12.0,3262.0,2546.2,231
00RlGST0Ff4,complete,8,403.9,100.0,2.2,8.0,3262.0,2630.2,381
00qaoE0f7A4,complete,8,225.1,100.0,2.1,2.0,3196.0,2561.7,212
00sKG5-YxQE,complete,8,387.2,100.0,2.3,7.0,3262.0,2629.1,360
01I9321tRt4,complete,8,375.7,83.0,1.9,9.0,3262.0,2612.4,352
02IXwHr2m3Y,complete,8,241.1,100.0,1.3,3.0,3262.0,2615.9,227
02k8vRi5f_I,complete,8,413.6,100.0,3.3,20.0,3262.0,2622.2,387
02wjT-r-pZo,complete,8,361.9,100.0,2.0,8.0,3262.0,2609.1,341
03H10CkU5ZU,complete,8,207.8,100.0,2.4,8.0,3567.0,2564.6,196
04_4Bvo_pc8,complete,8,185.5,58.0,0.6,2.0,3262.0,2605.1,175
0588rgW8C1I,complete,8,311.4,100.0,2.2,6.0,3633.0,2679.2,294
