feature,component,spearman_vs_residual,spearman_vs_target
core_optical_flow__cam_tx_per_sec_norm__std,core_optical_flow,-0.0157,0.0509
cut_detection__hard_cut_strength_p25,cut_detection,0.0156,0.0093
cut_detection__soft_hist_diff_l1__min,cut_detection,-0.0156,-0.024
core_optical_flow__cam_shake_std_norm__max,core_optical_flow,-0.0156,0.0781
cut_detection__flow_mag__std,cut_detection,-0.0156,0.0771
cut_detection__soft_flow_mag__std,cut_detection,-0.0156,0.0771
cut_detection__motion_dir_consistency__max,cut_detection,-0.0155,-0.0502
cut_detection__motion_flow_mag__std,cut_detection,-0.0154,0.0771
video_pacing__motion_speed_median,video_pacing,-0.0154,0.1043
core_optical_flow__flow_div_abs_mean__mean,core_optical_flow,0.0154,0.0617
scene_classification__frame_top1_top2_gap__min,scene_classification,-0.0153,-0.0388
core_optical_flow__flow_mag_std_per_sec_norm__max,core_optical_flow,-0.0152,0.09
video_pacing__luminance_spikes_per_minute,video_pacing,0.0151,0.0632
cut_detection__event_type_id__min,cut_detection,-0.0151,-0.0238
core_optical_flow__cam_ty_per_sec_norm__p50,core_optical_flow,-0.0151,0.0424
core_optical_flow__flow_dir_sin_mean__mean,core_optical_flow,0.015,0.0297
core_optical_flow__flow_dir_dispersion__p90,core_optical_flow,0.0149,0.0451
core_clip__shot_quality_scores__p50,core_clip,0.0148,-0.0308
video_pacing__video_length_seconds,video_pacing,-0.0146,-0.0616
video_pacing__climax_speed,video_pacing,-0.0145,-0.1018
core_clip__places365_video_topk_indices__max,core_clip,0.0144,-0.0436
scene_classification__frame_topk_ids__std,scene_classification,-0.0144,0.0318
cut_detection__motion_cut_intensity_score,cut_detection,-0.0144,0.0488
core_optical_flow__cam_shake_std_norm__std,core_optical_flow,-0.0143,0.0809
core_optical_flow__flow_dy_mean_per_sec_norm__p50,core_optical_flow,-0.0143,-0.0005
scene_classification__mean_score__mean,scene_classification,0.0143,-0.0807
scene_classification__top1_prob_mean__mean,scene_classification,0.0143,-0.0807
cut_detection__event_end_time_s__min,cut_detection,-0.0143,-0.0964
core_clip__shot_quality_scores__mean,core_clip,0.0142,-0.0309
scene_classification__top1_prob_mean__max,scene_classification,0.0141,-0.0563
scene_classification__mean_score__max,scene_classification,0.0141,-0.0563
scene_classification__frame_top1_top2_gap__mean,scene_classification,0.0141,-0.0784
uniqueness__pairwise_sim_mean,uniqueness,0.0141,-0.0006
uniqueness__diversity_score,uniqueness,-0.0141,0.0006
scene_classification__end_frame__max,scene_classification,0.014,-0.0603
scene_classification__top1_vs_top2_gap_mean__max,scene_classification,0.014,-0.0575
video_pacing__cut_density_map_8bins_7,video_pacing,0.014,0.0629
uniqueness__temporal_change_mean,uniqueness,0.0139,0.1313
scene_classification__start_time_s__mean,scene_classification,0.0139,-0.0551
core_clip__places365_topk_indices__min,core_clip,0.0138,0.0303
scene_classification__end_time_s__p90,scene_classification,0.0137,-0.0675
core_optical_flow__cam_affine_scale__min,core_optical_flow,0.0136,-0.0099
core_optical_flow__cam_affine_rotation__std,core_optical_flow,0.0136,0.0111
cut_detection__event_pair_index__p90,cut_detection,0.0136,-0.0296
core_optical_flow__cam_affine_scale__std,core_optical_flow,-0.0135,-0.0052
core_optical_flow__flow_dx_mean_per_sec_norm__p50,core_optical_flow,0.0134,-0.0456
cut_detection__hist_diff_l1__p90,cut_detection,0.0133,0.0513
core_optical_flow__cam_shake_std_norm__p90,core_optical_flow,-0.0133,0.0727
cut_detection__soft_lab_l__p90,cut_detection,0.0132,-0.0559
scene_classification__frame_scene_id__max,scene_classification,0.0131,0.0209
core_clip__shot_quality_scores__max,core_clip,-0.013,-0.0683
video_pacing__cut_density_map_8bins_0,video_pacing,0.0129,0.0589
core_clip__scene_atmosphere_scores__min,core_clip,0.0129,0.0707
scene_classification__length_seconds__mean,scene_classification,-0.0129,-0.1181
core_optical_flow__flow_div_abs_mean__std,core_optical_flow,0.0128,0.0424
scene_classification__frame_top1_prob__p90,scene_classification,-0.0127,-0.0866
scene_classification__top1_vs_top2_gap_mean__p50,scene_classification,0.0126,-0.0881
cut_detection__motion_mag_variance__max,cut_detection,-0.0126,0.0421
scene_classification__start_time_s__std,scene_classification,0.0124,-0.0644
scene_classification__frame_scene_id__p90,scene_classification,0.0123,0.0212
core_optical_flow__flow_mag_p95_per_sec_norm__std,core_optical_flow,-0.0123,0.0868
video_pacing__share_of_high_motion_shots,video_pacing,0.0123,-0.0784
core_clip__places365_video_topk_scores__p50,core_clip,0.0122,-0.0453
core_optical_flow__flow_consistency__mean,core_optical_flow,-0.0122,-0.0672
scene_classification__start_frame__mean,scene_classification,0.0122,-0.0147
core_clip__places365_topk_scores__mean,core_clip,0.0121,-0.0583
cut_detection__event_times_s__min,cut_detection,-0.012,-0.095
cut_detection__hist_diff_l1__std,cut_detection,-0.012,0.0212
cut_detection__soft_flow_mag__mean,cut_detection,-0.012,0.0863
cut_detection__flow_mag__mean,cut_detection,-0.012,0.0863
core_optical_flow__flow_dy_mean_per_sec_norm__mean,core_optical_flow,0.0119,-0.0004
cut_detection__edit_style_slow_prob,cut_detection,0.0117,0.0123
core_optical_flow__flow_mag_p95_per_sec_norm__min,core_optical_flow,-0.0117,0.0597
core_optical_flow__flow_mag_p95_per_sec_norm__p50,core_optical_flow,-0.0117,0.0908
cut_detection__motion_flow_mag__mean,cut_detection,-0.0116,0.0864
uniqueness__effective_unique_ratio,uniqueness,-0.0116,0.0295
uniqueness__repetition_ratio,uniqueness,0.0116,-0.0295
cut_detection__motion_mag_variance__min,cut_detection,0.0116,-0.0111
core_clip__places365_topk_indices__max,core_clip,0.0116,-0.0093
core_optical_flow__flow_mag_p95_per_sec_norm__p90,core_optical_flow,0.0116,0.1122
scene_classification__label_stability__p90,scene_classification,-0.0115,-0.0904
uniqueness__repeat_threshold_quality,uniqueness,-0.0114,-0.0174
scene_classification__end_time_s__mean,scene_classification,0.0112,-0.0704
cut_detection__shot_length_p25,cut_detection,-0.0112,-0.083
scene_classification__times_s__max,scene_classification,0.0111,-0.0647
scene_classification__end_time_s__max,scene_classification,0.0111,-0.0647
core_optical_flow__cam_affine_rotation__p90,core_optical_flow,-0.011,0.0051
core_optical_flow__cam_tx_per_sec_norm__mean,core_optical_flow,0.0109,-0.0417
scene_classification__times_s__std,scene_classification,0.0108,-0.0647
core_optical_flow__flow_dir_dispersion__max,core_optical_flow,-0.0108,0.0058
scene_classification__times_s__mean,scene_classification,0.0108,-0.0648
scene_classification__times_s__p90,scene_classification,0.0107,-0.0649
core_clip__places365_topk_scores__max,core_clip,-0.0107,-0.0232
core_optical_flow__flow_dy_mean_per_sec_norm__max,core_optical_flow,-0.0107,0.0684
core_clip__consecutive_cosine_prev__std,core_clip,0.0106,0.0353
core_clip__places365_video_topk_indices__p90,core_clip,-0.0106,-0.0405
scene_classification__times_s__p50,scene_classification,0.0106,-0.065
scene_classification__frame_scene_embedding__min,scene_classification,-0.0104,0.0028
scene_classification__frame_top1_top2_gap__p90,scene_classification,-0.0102,-0.0847
cut_detection__event_strength__max,cut_detection,-0.0102,-0.0597
scene_classification__frame_entropy__mean,scene_classification,0.0102,0.0704
cut_detection__shot_length_histogram__std,cut_detection,-0.0102,0.0074
scene_classification__fraction_high_confidence_frames__max,scene_classification,-0.0101,-0.0695
core_optical_flow__flow_dir_sin_mean__max,core_optical_flow,-0.01,-0.0139
